date_time,SBE45_sal,SBE38_water_temp,alkalinity,DIC,density
2022-03-25 05:25:00,34.8585,26.1489,2281.21494417234,2029.1496814961192,1.0238278718148734
2022-03-18 07:45:00,35.3194,23.3996,2309.590288121295,2047.3990833602236,1.0241774635155814
2022-03-23 23:50:00,35.1787,26.8346,2301.071169382168,1996.5417755996305,1.0240707331986258
2022-02-28 16:20:00,34.4225,19.8903,2283.21173448784,2044.8516101906068,1.023497250152501
2022-03-01 17:20:00,34.7411,20.6933,2297.466027521516,2056.774560524888,1.0237388386710946
2022-03-17 19:30:00,35.3377,23.4626,2305.455814513773,2047.664245920739,1.0241913459093421
2022-03-24 00:00:00,35.1804,26.8402,2295.0956278032754,2002.2029257003994,1.024072022711055
2022-03-03 13:00:00,34.8017,21.4367,2297.0708167816383,2054.631021489076,1.023784795420594
2022-03-04 07:00:00,35.1987,22.2248,2311.111736558198,2070.431778910539,1.024085904011627
2022-03-29 13:20:00,35.0704,26.0051,2292.427082871201,1988.401069492285,1.0239885862261653
2022-03-30 05:40:00,34.9385,26.314,2296.0765811493643,1996.6040344211756,1.0238885451279036
2022-03-28 12:00:00,34.8246,26.2313,2277.4559641342985,1981.8282034072415,1.0238021623224751
2022-03-31 21:30:00,35.4872,25.6764,2316.3526285735184,2024.8856362819697,1.024304762123947
2022-03-02 12:00:00,34.8146,20.883,2297.256594890204,2061.0579937840994,1.023794578495028
2022-03-25 20:30:00,35.0876,26.2897,2290.079845382449,1995.6999437368604,1.0240016323162533
2022-03-06 05:52:00,35.1835,22.5826,2320.268447568053,2071.8221776644436,1.0240743741780887
2022-03-18 23:00:00,35.1961,23.0087,2310.826050383143,2044.6566291957456,1.0240839317962274
2022-03-09 21:20:00,35.5475,24.8011,2318.026071494467,2068.042118359431,1.024350510656194
