,bottle,date_time,SBE45_sal,SBE38_water_temp
0,SO289-28022022-16-20,2022-02-28 16:20:00,34.4225,19.8903
1,SO289-01032022-00-58,2022-03-01 00:58:00,34.42,19.8476
2,SO289-01032022-17-20,2022-03-01 17:20:00,34.7411,20.6933
3,SO289-02032022-01-10,2022-03-02 01:10:00,34.7355,20.8006
4,SO289-02032022-02-09,2022-03-02 02:09:00,34.8076,20.9545
5,SO289-02032022-12-00,2022-03-02 12:00:00,34.8146,20.883
6,SO289-03032022-02-54,2022-03-03 02:54:00,34.8402,21.2435
7,SO289-03032022-13-00,2022-03-03 13:00:00,34.8017,21.4367
8,SO289-04032022-02-16,2022-03-04 02:16:00,35.1942,22.2549
9,SO289-04032022-07-00,2022-03-04 07:00:00,35.1987,22.2248
10,SO289-04032022-15-35,2022-03-04 15:35:00,35.1268,22.2109
11,SO289-05032022-17-05,2022-03-05 17:05:00,35.2755,22.6458
12,SO289-06032022-05-52,2022-03-06 05:52:00,35.1835,22.5826
13,SO289-09032022-21-20,2022-03-09 21:20:00,35.5475,24.8011
14,SO289-17032022-19-30,2022-03-17 19:30:00,35.3377,23.4626
15,SO289-18032022-07-45,2022-03-18 07:45:00,35.3194,23.3996
16,SO289-18032022-23-00,2022-03-18 23:00:00,35.1961,23.0087
17,SO289-23032022-23-50,2022-03-23 23:50:00,35.1787,26.8346
18,SO289-24032022-00-00,2022-03-24 00:00:00,35.1804,26.8402
19,SO289-25032022-05-25,2022-03-25 05:25:00,34.8585,26.1489
20,SO289-25032022-20-30,2022-03-25 20:30:00,35.0876,26.2897
21,SO289-26032022-07-08,2022-03-26 07:08:00,34.946,26.8304
22,SO289-26032022-23-01,2022-03-26 23:01:00,35.0254,25.8418
23,SO289-28032022-12-00,2022-03-28 12:00:00,34.8246,26.2313
24,SO289-28032022-21-45,2022-03-28 21:45:00,34.9869,25.978
25,SO289-29032022-13-20,2022-03-29 13:20:00,35.0704,26.0051
26,SO289-29032022-18-30,2022-03-29 18:30:00,35.0955,25.9792
27,SO289-30032022-05-40,2022-03-30 05:40:00,34.9385,26.314
28,SO289-31032022-00-00,2022-03-31 00:00:00,35.3827,26.1191
29,SO289-31032022-21-30,2022-03-31 21:30:00,35.4872,25.6764
30,SO289-01042022-13-30,2022-04-01 13:30:00,35.0234,26.041
31,SO289-01042022-23-00,2022-04-01 23:00:00,35.0483,26.2733
32,SO289-02042022-20-50,2022-04-02 20:50:00,35.1948,25.7628
33,SO289-03042022-19-00,2022-04-03 19:00:00,,
34,SO289-03042022-21-00,2022-04-03 21:00:00,,
35,SO289-03042022-21-00,2022-04-03 21:00:00,,
