bottle,lat,lon,salinity,total_phosphate,total_silicate,alkalinity
SO289-25032022-05-25,26° 10.097' S,155° 59.938' W,34.8585,,,2281.21494417234
SO289-18032022-07-45,31° 26.030' S,138° 00.606' W,35.3194,,,2309.590288121295
SO289-02032022-02-09,32° 30.002' S,086° 46.065' W,34.8076,,,2295.9646071488587
SO289-23032022-23-50,26° 10.190' S,152° 00.001' W,35.1787,,,2301.071169382168
SO289-01042022-23-00,25° 43.110' S,179° 00.006' E,35.0483,,,2291.187933708577
SO289-28022022-16-20,32° 29.726' S,081° 59.037' W,34.4225,,,2283.21173448784
SO289-01032022-17-20,32° 30.010' S,085° 00.032' W,34.7411,,,2297.4660275215156
SO289-17032022-19-30,31° 25.802' S,137° 59.996' W,35.3377,,,2305.4558145137726
SO289-01042022-13-30,25° 43.093' S,178° 59.985' E,35.0234,,,2289.420763056799
SO289-01032022-00-58,32° 30.007' S,082° 24.282' W,34.42,,,2279.9890438620987
SO289-24032022-00-00,26° 10.189' S,151° 59.997' W,35.1804,,,2295.0956278032754
SO289-03032022-13-00,32° 29.991' S,090° 59.924' W,34.8017,,,2297.0708167816383
SO289-04032022-07-00,32° 29.988' S,094° 00.059' W,35.1987,,,2311.111736558198
SO289-29032022-13-20,26° 10.223' S,171° 59.998' W,35.0704,,,2292.4270828712015
SO289-05032022-17-05,32° 30.010' S,100° 00.019' W,35.2755,,,2315.5537211399346
SO289-26032022-23-01,26° 10.204' S,163° 13.947' W,35.0254,,,2289.483438279237
SO289-30032022-05-40,26° 10.042' S,174° 42.739' W,34.9385,,,2296.0765811493643
SO289-28032022-12-00,26° 10.200' S,168° 00.034' W,34.8246,,,2277.4559641342985
SO289-26032022-07-08,26° 10.199' S,159° 59.996' W,34.946,,,2282.5663323356875
SO289-31032022-21-30,25° 43.087' S,178° 42.893' W,35.4872,,,2316.3526285735184
SO289-02032022-12-00,32° 29.878' S,087° 59.975' W,34.8146,,,2297.256594890204
SO289-25032022-20-30,26° 10.137' S,158° 38.138' W,35.0876,,,2290.0798453824495
SO289-28032022-21-45,26° 10.205' S,169° 10.900' W,34.9869,,,2283.7340158246384
SO289-04032022-02-16,32° 29.966' S,094° 00.201' W,35.1942,,,2298.0184629953096
SO289-03032022-02-54,32° 30.006' S,089° 42.417' W,34.8402,,,2305.1336771817037
SO289-06032022-05-52,32° 28.947' S,100° 02.985' W,35.1835,,,2320.2684475680535
SO289-04032022-15-35,32° 30.010' S,095° 30.112' W,35.1268,,,2024.527690766284
SO289-02032022-01-10,32° 29.998' S,086° 31.771' W,34.7355,,,2298.9109574885474
SO289-02042022-20-50,25° 43.101' S,175° 30.001' E,35.1948,,,1934.06784948769
SO289-29032022-18-30,26° 10.192' S,172° 07.432' W,35.0955,,,2302.528023286622
SO289-18032022-23-00,31° 25.780' S,140° 59.978' W,35.1961,,,2310.826050383143
SO289-09032022-21-20,31° 25.817' S,111° 59.388' W,35.5475,,,2318.026071494467
