bottle,salinity,total_phosphate,total_silicate,alkalinity
SO289-41142,35.0733,0.0205079970349477,0.8252027378348019,2293.277792833427
SO289-41169,34.6428,1.2523636960603066,5.197016273822802,2284.2825226391087
SO289-40388,34.6542,2.4304637774940625,110.91921608342577,2380.6225999876256
SO289-41180,35.6836,0.3309080496471778,0.5954392633769275,2328.5455624203782
SO289-41205,34.3765,2.2042823068606445,38.67460207010552,2298.796748800656
SO289-41160,34.5565,2.4716713862447355,86.32776365435417,2357.417494860275
SO289-41199,34.6134,2.468636493708076,104.1242933590696,2379.176461336107
SO289-41288,35.1799,0.0380832730304843,0.096672923846614,2299.5780825270917
SO289-41217,34.4041,2.147568017927904,41.19949982346038,2304.250749610172
SO289-41282,35.2251,0.7889808822794628,2.702845398699941,2306.941100667525
SO289-40977,34.7216,2.21153346736312,119.21865065868673,2367.368244988536
SO289-41280,34.3686,1.90433127616946,19.381382859978142,2283.315061876077
SO289-41266,34.6933,2.472397769208789,124.083890412385,2402.112866611055
SO289-41240,34.9967,0.0224624140816759,0.0947327898227201,2288.551143205812
SO289-41011,34.5007,2.411200451000754,72.41905730568513,2331.400069757506
SO289-41216,35.4681,0.0195257150771507,0.1269171480014796,2316.4367322992434
SO289-41022,35.0445,0.0292977636183164,0.1894588713984463,2292.8152147729284
SO289-41159,34.6057,2.5165191456071283,102.7669829352824,1626.5545292690747
SO289-41146,34.7227,2.2769789363239448,120.47181991284089,2365.10818609717
SO289-40382,34.6995,2.404984334819674,118.87480042941128,2392.542298108407
SO289-41157,34.6479,2.877885733199406,117.39839570899696,2392.551503549633
SO289-41119,34.3267,1.8604203687724328,15.244894219321166,2277.863418246589
SO289-41010,34.5572,2.4374770398666588,86.56413950760121,2357.786544991976
SO289-41081,34.6241,2.5135541558700605,110.12063436473088,2383.9569509300572
SO289-41176,35.5335,0.4764043705184329,1.106078179912673,2319.7382242540893
SO289-41099,34.7199,2.2388874074225247,119.83127129936771,2366.537106221904
SO289-41000,34.8739,0.0293014661959395,0.2344117295675162,2285.689894596453
SO289-41009,34.6163,2.4842616213912456,105.46340222592792,2378.981949798206
SO289-41001,34.7215,2.19785806986264,117.00028807816336,2365.0117800142643
SO289-41068,34.5584,2.453105974471044,88.25417539458013,2298.3472606910796
SO289-41117,34.6185,2.532125689565352,108.4642682047652,2378.771208565657
SO289-40988,34.3538,2.211159018933064,33.64518323373447,2296.463296238675
SO289-41204,34.5432,2.4199171321425945,83.66641227157521,2353.400430629712
SO289-41083,34.5158,2.427782048780548,76.0174219048554,2342.378478053451
SO289-41031,34.8235,0.963077476985164,2.937093279203233,2286.5445452800086
SO289-41008,34.6396,2.5223172608863496,115.64853947716132,2389.165486216547
SO289-41032,35.2026,0.6044397344440495,1.417845709875218,2313.281700719403
SO289-41281,34.5137,1.465464281051275,7.487545499984647,2287.5596137716843
SO289-41178,35.5931,0.4100020557526005,0.8649090985638194,2332.732389817744
SO289-41239,35.0002,0.0292987250173958,0.1064520342298716,2300.7177041190325
SO289-41244,34.6909,2.4694716209117007,123.93269958270074,2411.9151047302007
SO289-41080,34.6375,2.542835803157499,116.56406212230468,2400.630641345707
SO289-40372,34.2815,1.7911054240914872,7.493719311160729,2276.670375129449
SO289-41192,35.0327,0.0234384157585819,0.0849642571248594,2318.053924192903
SO289-41073,34.7212,2.2017658623965675,120.01968332523472,1941.4942021452443
SO289-40377,34.7121,0.1807140329795822,,2162.8825821924024
SO289-41116,34.6507,2.549649078057337,121.20015764961526,2405.0751779228067
SO289-41194,34.6345,2.456875242914488,109.21616387985677,2394.1243111550575
SO289-41030,34.4173,1.4411427893767217,6.078202910313617,2095.054473109107
SO289-41158,34.6285,2.534060718365134,111.25737901075048,2394.9313832273783
SO289-41179,35.655,0.3523903727306329,0.6813531306536891,2336.3283769310156
SO289-41203,34.5792,2.445252746106701,93.22733691898377,2375.2682106667285
SO289-41118,34.501,2.417061827411561,72.6564486584248,2306.039075274217
